;Schlüssel- und Namensverzeichnis der lebensweltlich orientierten Räume;;;;;;;;;;
Bezirk;;;"Prognoseräume
Ebene 3";;;"Bezirksregionen
Ebene 2";;;"Planungsraum
Ebene 1";;
Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name
;;;;;;;;;;;
;03;Pankow;;01;Buch;;01;Buch;;01 ;Bucher Forst
;;;;;;;;;;02 ;Buch
;;;;;;;;;;04 ;Lietzengraben
;;;;02;Nördliches      Pankow;;02;Blankenfelde/       Niederschönhausen;;03;Blankenfelde
;;;;;;;;;;09 ;Niederschönhausen
;;;;;;;;;;10 ;Herthaplatz
;;;;;;;03;Buchholz;;07 ;Buchholz
;;;;03;Nördliches Weißensee;;04;Karow;;05;Karow-Nord
;;;;;;;;;;06 ;Alt-Karow
;;;;;;;07;Blankenburg/Heinersdorf/       Märchenland;;11;Blankenburg
;;;;;;;;;;15 ;Heinersdorf
;;;;;;;;;;16 ;Märchenland
;;;;04;Südliches Pankow;;08;Pankow Süd;;18;Pankow-Süd
;;;;;;;05;Schönholz/Wilhelmsruh/      Rosenthal;;08;Rosenthal
;;;;;;;;;;12;Wilhelmsruh
;;;;;;;;;;13 ;Schönholz
;;;;;;;06;Pankow Zentrum;;14 ;Pankow-Zentrum
;;;;05;Südliches Weißensee;;09;Weißensee;;19;Gustav-Adolf-Straße
;;;;;;;;;;20;Weißer See
;;;;;;;;;;23;Weißenseer Spitze
;;;;;;;;;;24 ;Behaimstraße
;;;;;;;;;;25 ;Komponistenviertel Weißensee
;;;;;;;10;Weißensee Ost;;17 ;Rennbahnstraße
;;;;;;;;;;21 ;Buschallee
;;;;;;;;;;22 ;Hansastraße
;;;;06;Nördlicher Prenzl. Berg;;11;Prenzlauer Berg Nordwest;;26;Arnimplatz
;;;;;;;;;;31 ;Falkplatz
;;;;;;;12;Prenzlauer Berg Nord;;27 ;Humannplatz
;;;;;;;;;;28 ;Erich-Weinert-Straße
;;;;;;;13;Helmholtzplatz;;32 ;Helmholtzplatz
;;;;;;;14;Prenzlauer Berg Ost;;29 ;Greifswalder Straße
;;;;;;;;;;30 ;Volkspark Prenzlauer Berg
;;;;;;;;;;34 ;Anton-Saefkow-Park
;;;;;;;;;;35 ;Conrad-Blenkle-Straße
;;;;;;;;;;41 ;Eldenaer Straße
;;;;07;Südlicher Prenzl. Berg;;15;Prenzlauer Berg Südwest;;36;Teutoburger Platz
;;;;;;;;;;37 ;Kollwitzplatz
;;;;;;;16;Prenzlauer Berg Süd;;33 ;Thälmannpark
;;;;;;;;;;38 ;Winsstraße
;;;;;;;;;;39 ;Bötzowstraße
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
